epoch,loss
1,8.03995905900613
2,7.797422445737398
3,7.477564437572773
4,7.205232896560278
5,7.01255127344376
6,6.845296238630246
7,6.717550028287447
8,6.617035215328901
9,6.521520294287266
10,6.452679687891251
11,6.37744611837925
12,6.298171662061643
13,6.250004210838905
14,6.197318901159824
15,6.14961341711191
16,6.104814989138872
17,6.051718697181115
18,6.021826768532778
19,5.980832383571527
20,5.937621260911991
21,5.915677383618477
22,5.865495679317377
23,5.847245069650503
24,5.8137800632379
25,5.784223400018154
26,5.767487997886462
27,5.74953656807924
28,5.711262470636612
29,5.691667285332313
30,5.6649953255286585
31,5.643926542233198
32,5.64109645990225
33,5.6026213352496805
34,5.598291859259972
35,5.582585645333315
36,5.578624974764311
37,5.557651656713241
38,5.538774231152657
39,5.5242672382256925
40,5.508755030998817
41,5.502698042453864
42,5.48654339619172
43,5.478031415205735
44,5.468643349867601
45,5.456792997702574
46,5.438592553750063
47,5.432431910588191
48,5.419086079719739
49,5.415292561359895
50,5.400345736283523
