epoch,train_loss,train_acc,test_loss,test_acc
1,1.9309979138835784,0.28830645161290325,2.104702924156189,0.2758
2,1.6206404701355965,0.3928931451612903,1.8547793519973754,0.3567
3,1.4869520548851258,0.45236895161290325,1.7433939897537232,0.4023
4,1.395589328581287,0.4894153225806452,1.638627626991272,0.4231
5,1.295845050965586,0.5347782258064516,1.4617461925506592,0.4715
6,1.2306721902662707,0.5642641129032258,1.4101324756622315,0.4946
7,1.1192469981408888,0.6000504032258065,1.6111415206909179,0.4707
8,1.0850864994910456,0.6096270161290323,1.6222955291748047,0.4571
9,1.021585541386758,0.6388608870967742,1.3809240933418274,0.5332
10,0.9852891410550764,0.6481854838709677,1.279473805999756,0.5479
11,0.9204019461908648,0.6754032258064516,1.3229093515396118,0.5492
12,0.8763574842483767,0.6902721774193549,1.3192186281204223,0.5575
13,0.8413072978296587,0.7053931451612904,1.4103716413497924,0.5479
14,0.7937454388987634,0.719758064516129,1.5689514308929444,0.5213
15,0.7591495706189063,0.7338709677419355,1.2307127035140992,0.5867
16,0.6941339046724381,0.7532762096774194,1.3865561927795411,0.5631
17,0.6607036484825995,0.7638608870967742,1.4336600769042969,0.5765
18,0.6514477864388497,0.7686491935483871,1.2236474669456483,0.617
19,0.6080442984257975,0.7850302419354839,1.2955146598815919,0.6158
20,0.6072354653189259,0.7888104838709677,1.328931343460083,0.6009
21,0.5418076322924706,0.8119959677419355,1.5977810885429382,0.5718
22,0.5194710493087769,0.813508064516129,1.8158076015472413,0.5273
23,0.5159786122460519,0.8155241935483871,1.3128782673835755,0.6215
24,0.45332651753579417,0.8394657258064516,1.5482833530426026,0.5812
25,0.445478948854631,0.8490423387096774,1.5556798480987548,0.5834
26,0.4201362709845266,0.8508064516129032,1.6379204885482788,0.5678
27,0.36997232321769963,0.8699596774193549,1.3481680841445922,0.6313
28,0.3618420612427496,0.8697076612903226,1.4740490570068359,0.6238
29,0.3441745307176344,0.8780241935483871,1.3637484356880187,0.6331
30,0.33063233090985206,0.8835685483870968,1.5307917722702027,0.6094
31,0.3214866816997528,0.8893649193548387,1.7585081771850586,0.5835
32,0.2829269939853299,0.9039818548387096,1.4627328386306764,0.6321
33,0.27843551097377656,0.90625,1.6055061925888061,0.6154
34,0.27132449659609026,0.9054939516129032,1.6629964637756347,0.6097
35,0.2719825015914056,0.9044858870967742,1.6053887245178222,0.6246
36,0.2592193493919988,0.9117943548387096,1.6010730949401855,0.6039
37,0.23903489208990528,0.9140625,1.8446860457420349,0.5888
38,0.22547530262700974,0.9231350806451613,1.441878214454651,0.6369
39,0.2090369035159388,0.9243951612903226,1.5056992469787598,0.6298
40,0.2084026586624884,0.9271673387096774,1.6505362447738647,0.6164
41,0.20557444182134443,0.9324596774193549,1.5362482149124146,0.6479
42,0.19545114953671733,0.936491935483871,1.436834806060791,0.6523
43,0.1758163770841014,0.9410282258064516,1.5172645080566407,0.633
44,0.15243858892110088,0.9485887096774194,1.622051689529419,0.6285
45,0.14736367978395953,0.9493447580645161,1.6889093404769897,0.614
46,0.15819744237007632,0.9475806451612904,1.7993880031585694,0.6091
47,0.1742157928885952,0.9412802419354839,2.2130066106796265,0.5977
48,0.1692291466939834,0.9438004032258065,1.5089649496078492,0.6554
49,0.14880228427148634,0.953125,1.7869864845275878,0.6016
50,0.14963597563966627,0.9480846774193549,1.47203314743042,0.6606
