epoch,train_loss,sup_loss,unsup_loss,test_loss,test_acc
1,3.3898500088722474,2.6624225185763453,0.00969903308507656,2.907242529296875,0.1
2,3.184260845184326,2.5504982317647626,0.008450168004680065,2.541138719558716,0.1
3,3.0798829524747786,2.532372574652395,0.007300138563638733,2.5105836692810057,0.1
4,3.0484342190527145,2.399829856811031,0.008648058354494071,2.7412094501495363,0.1
5,2.980425165545556,2.4351830021027596,0.00726989568060925,2.5444882488250733,0.1
6,3.023969857923446,2.4307157454952115,0.007910054913091083,2.418536017227173,0.1
7,2.965068801756828,2.3718210189573226,0.007909970117672797,2.551662748336792,0.1
8,2.9910971964559248,2.3375167769770466,0.008714405669560355,2.470636809158325,0.1
9,2.8779980674866708,2.3252384739537395,0.007370128191166347,2.3167695640563966,0.1011
10,2.8854169691762617,2.3138186393245572,0.007621311147006289,2.4079371574401853,0.1
11,2.887348428849251,2.2892095581177743,0.00797518486938169,2.4628903259277344,0.1
12,2.861372547764932,2.2632572420181765,0.007974870803375398,2.4037010162353516,0.1
13,2.8163557052612305,2.2445402799114103,0.007624205772674853,2.437024698257446,0.1
14,2.773970773143153,2.22723586328568,0.00728979850969007,2.340721663284302,0.1
15,2.78301065967929,2.236314050612911,0.007289288340196494,2.2995449390411378,0.1001
16,2.7633400347925003,2.1901046729856923,0.007643138268782246,2.4212474182128907,0.1002
17,2.781197794022099,2.170492022268234,0.008142743319753678,2.223690400314331,0.1016
18,2.817162113804971,2.181950176915815,0.008469492422356721,2.41383441696167,0.1
19,2.7398599040123726,2.163488426516133,0.007684952819779996,2.1758365444183347,0.1051
20,2.7237618354059037,2.1502558569754324,0.007646746497841612,2.3732468982696533,0.1001
21,2.700202072820356,2.1651118493849233,0.007134536386377389,2.260157940673828,0.1
22,2.6907372859216507,2.1212613505701863,0.007593012384829983,2.5110121643066408,0.1
23,2.728936949083882,2.128772251067623,0.008002196288397235,2.291840491104126,0.1003
24,2.760999879529399,2.14818061167194,0.008170923886580332,2.237541431427002,0.1
25,2.7108140760852444,2.0990963674360708,0.008156236155980056,2.232633786010742,0.1014
26,2.763528570052116,2.145833742234015,0.008235931231249724,2.320084690475464,0.1
27,2.67435045396128,2.077357053756714,0.00795991194524592,2.0685542476654053,0.1404
28,2.6212775707244873,2.0950559916034823,0.0070162875082103475,2.341690752029419,0.1
29,2.702964701960164,2.109762645536853,0.007909361010177,2.482174239730835,0.1
30,2.629700706851098,2.069882392883301,0.007464244188139996,2.296753845977783,0.1006
31,2.679078286693942,2.036036387566597,0.00857389185036863,2.2859551414489747,0.1
32,2.5571995089131017,2.0394101681247836,0.006903858130587445,2.2403868057250977,0.1
33,2.6363319966100875,2.0482916447424118,0.007840537841642094,2.130369223213196,0.1005
34,2.652701908542264,2.0284763997600925,0.008323006564751267,2.359522826766968,0.1
35,2.646259423225157,2.0282070636749268,0.008240698333529214,2.2983282234191895,0.1002
36,2.493008771250325,1.9720393842266453,0.006946258607410615,2.616776774597168,0.1
37,2.531471190914031,1.998291992372082,0.007109055810067202,2.875127900314331,0.1001
38,2.693510155523977,2.08871812974253,0.00806389354364646,2.343123426437378,0.1
39,2.631541952010124,2.0570981310259913,0.0076592507914850306,2.4285993717193604,0.1
40,2.4678449361555037,1.9412494359477874,0.00702127349382687,2.5233673305511473,0.1
41,2.7049733669527116,2.0145387764899962,0.009205794735481181,2.269980889701843,0.1058
42,2.6115018629258677,2.0232521564729753,0.007843329477304171,2.0327622184753418,0.1089
43,2.4666248521497174,1.9516538958395682,0.006866279497532354,2.2937514251708984,0.1
44,2.4716079081258466,1.9231986576511013,0.0073121231755301835,2.2705224746704102,0.1004
45,2.651610820524154,1.9679662335303523,0.009115261078301457,2.0640757219314576,0.1023
46,2.645387895645634,2.035446359265235,0.008132553899720792,2.168876625061035,0.1
47,2.5068800680098997,1.9640457437884422,0.007237790922273791,2.2923530906677247,0.1001
48,2.318148766794512,1.8401695451428812,0.006373056150492161,2.4683224094390868,0.1
49,2.7279210321364866,2.1087986384668658,0.008254965451816398,2.4174197151184083,0.1
50,2.322594161956541,1.885970861681046,0.005821643971777972,2.2467628635406496,0.1009
