epoch,train_loss,sup_loss,cons_loss,test_loss,test_acc
1,1.9559964133847145,1.9534607318139845,0.002535682733944287,1.7224665336608886,0.3584
2,1.6579795883547874,1.6533545486388668,0.004625031991200822,1.6534755859375,0.3883
3,1.5024369109061457,1.4950051230769004,0.00743178455835028,1.5059043144226074,0.4501
4,1.4016542819238478,1.3936967234457693,0.00795755353981569,1.4409723138809205,0.4741
5,1.3131412421503375,1.3057557959710397,0.007385436340325301,1.42386794090271,0.4963
6,1.2124447707206971,1.2042534389803488,0.008191329209254153,1.3836817998886108,0.5102
7,1.1553286833147849,1.1458832929211278,0.009445382796618487,1.3766723421096803,0.5201
8,1.0700338079083351,1.0586144693436161,0.011419337847450327,1.3766313646316528,0.5363
9,0.9993002357021454,0.9896591209596203,0.009641118820816759,1.306188043308258,0.5579
10,0.9366661002559047,0.926396487220641,0.010269605547129627,1.363163813495636,0.5488
11,0.9235555395003288,0.9130666255950928,0.010488912568337495,1.258901708984375,0.5806
12,0.871481672410042,0.8597815363637863,0.011700134243695967,1.307445327758789,0.5755
13,0.8007238584180032,0.789497519693067,0.01122634137620128,1.394405223274231,0.5554
14,0.7931009742521471,0.778426916368546,0.014674063201152509,1.4175519514083863,0.5702
15,0.7409575100867979,0.7280678556811425,0.012889656816579161,1.4062257882118225,0.5674
16,0.6725293715153972,0.6600963319501569,0.012433037146805756,1.3986073525428773,0.5904
17,0.6883138456652241,0.6755857727219982,0.01272807799790415,1.2232254126548767,0.6096
18,0.652949740809779,0.6404752490981933,0.012474491944416397,1.2692075063705444,0.6149
19,0.5764573331802122,0.561779519242625,0.014677812976221885,1.270599730491638,0.6204
20,0.5862143904932083,0.5708302336354409,0.015384160402801729,1.3894098482131958,0.5971
21,0.5581612135133436,0.5431441943491658,0.01501701510841808,1.203483463382721,0.6325
22,0.534372914221979,0.5200814402872517,0.01429147445296328,1.3279708057403565,0.6109
23,0.4643232774349951,0.4504708186272652,0.01385245964892449,1.4199712181091309,0.6083
24,0.46068517238863055,0.4459206856066181,0.014764488224060304,1.4462283168792724,0.6054
25,0.4434009203987737,0.4291409840506892,0.014259935101313938,1.3713571128845214,0.6333
26,0.41640331572101963,0.39923506013808713,0.0171682566194044,1.3369932455062867,0.6319
27,0.3801284038251446,0.36342639500095,0.016702006060269572,1.3506540523052215,0.6364
28,0.3822292358644547,0.36460284215788685,0.017626394848189047,1.2060055698394776,0.6575
29,0.35094168686097665,0.3348415638169935,0.016100123629815156,1.395027170944214,0.6266
30,0.3367146844825437,0.3222236806346524,0.014491001519584847,1.4630396366119385,0.6431
31,0.31220739839538453,0.2948777877515362,0.017329608946437796,1.4618944816589357,0.627
32,0.33454862285044884,0.3181659709061346,0.016382651148183693,1.432138187599182,0.6249
33,0.28454902623930284,0.266496951541593,0.01805207468268852,1.3289855402946473,0.6607
34,0.25994533396536307,0.24322245678594034,0.016722878966961178,1.374828561592102,0.6656
35,0.2478645400654885,0.22869169760134914,0.019172840841835546,1.3325489505767822,0.65
36,0.23148311338117045,0.21263245276866422,0.01885066107816754,1.3993386848449707,0.6516
37,0.22856816312959116,0.20972408137975201,0.018844082200479124,1.4546569900512696,0.6545
38,0.25391455859907214,0.23495874289543398,0.018955815838830124,1.4696026562690734,0.656
39,0.24576864463667716,0.22672241589715403,0.019046228484160477,1.356792704963684,0.6651
40,0.2139865804103113,0.19503481950490706,0.018951762152174787,1.516838203048706,0.6409
41,0.19450042613091006,0.17713797957666458,0.01736244559288025,1.6062780738830567,0.6399
42,0.18636625308182933,0.16941858611760602,0.016947667189543287,1.3255885335922242,0.6793
43,0.16948198887609667,0.15340499363599286,0.016076994278738575,1.3660796527862549,0.6749
44,0.1498275452083157,0.13241518048509474,0.01741236571462885,1.4562794647216797,0.6683
45,0.1751772013883437,0.15492316647883383,0.020254035270021807,1.4915774295806885,0.6427
46,0.16925499035466102,0.15089564962733176,0.018359341268097202,1.5176623530387878,0.6658
47,0.156339590107241,0.13841296203674808,0.017926626913850347,1.3990960597038269,0.6783
48,0.14438503475919848,0.1255024986401681,0.01888253676494764,1.5057316848754883,0.6659
49,0.16185555438841542,0.1424993591443185,0.01935619557456624,1.4814280988693238,0.6622
50,0.15561152537984232,0.1378136565608363,0.017797868819006028,1.4662343561172486,0.6757
