epoch,loss
1,5.183391670080332
2,4.594405307525244
3,4.221508379471608
4,3.9608081322449906
5,3.7480003142968203
6,3.563216643455701
7,3.4251918016335905
8,3.3271966805824866
9,3.24875557300372
10,3.188821546236674
11,3.130944947707347
12,3.0930536795885133
13,3.048290055226057
14,3.00880951270079
15,2.9741561773495797
16,2.958246610714839
17,2.9281332657887384
18,2.9078080317912955
19,2.88271204324869
20,2.8652592157706236
21,2.8428621854537575
22,2.826350525709299
23,2.8174552532342765
24,2.7982164810865355
25,2.783407459503565
26,2.7694257999077823
27,2.753015475395398
28,2.740171378086775
29,2.7292507874660004
30,2.7184461055657803
31,2.7078481441889055
32,2.6959638283802914
33,2.6863804309796064
34,2.673829811047285
35,2.668635078576895
36,2.659218530777173
37,2.6487365355858437
38,2.6404515468157257
39,2.633379811507005
40,2.622822074401073
41,2.6146319780594265
42,2.6099154074986775
43,2.595277784420894
44,2.5903398220355696
45,2.5879574555617113
46,2.578547225243006
47,2.575243057960119
48,2.564796272302285
49,2.5653138986000648
50,2.5490986646750033
